S,AP,F,I,A,W,L,a,b,R
#,45,BIF,05,52685,232.154,232.154,60.538,10,NL
#,45,CEV,05,52685,232.154,232.154,60.538,10,NL
#,45,CIV,05,52685,232.154,232.154,60.538,10,NL
#,45,CIB,05,52685,232.154,232.154,60.538,10,NL
#,45,SEV,05,52685,232.154,232.154,60.538,10,NL
#,45,SIV,05,52685,232.154,232.154,60.538,10,NL
#,45,SIH,05,52685,232.154,232.154,60.538,10,NL
#,45,SEH,05,52685,232.154,232.154,60.538,10,NL
#,45,SIW,05,52685,232.154,232.154,60.538,10,NL
#,45,BEH,20,52685,232.154,232.154,60.538,10,NL
#,45,BEF,20,52685,232.154,232.154,60.538,10,NL
#,45,BIF,20,52685,232.154,232.154,60.538,10,NL
#,45,CEV,20,52685,232.154,232.154,60.538,10,NL
#,45,CIV,20,52685,232.154,232.154,60.538,10,NL
#,45,CIB,20,52685,232.154,232.154,60.538,10,NL
#,45,SEV,20,52685,232.154,232.154,60.538,10,NL
#,45,SIV,20,52685,232.154,232.154,60.538,10,NL
#,45,SIH,20,52685,232.154,232.154,60.538,10,NL
#,45,SEH,20,52685,232.154,232.154,60.538,10,NL
#,45,SIW,20,52685,232.154,232.154,60.538,10,NL
H,05,BUI,00,12504,420.163,420.163,205.041,400,NL
H,05,CUI,00,12504,420.163,420.163,205.041,400,NL
H,05,SUI,00,12504,420.163,420.163,205.041,400,NL
H,05,BEH,05,12504,420.163,420.163,205.041,400,NL
H,05,BEF,05,12504,420.163,420.163,205.041,400,NL
H,05,BIF,05,12504,420.163,420.163,205.041,400,NL
H,05,CEV,05,12504,420.163,420.163,205.041,400,NL
H,05,CIV,05,12504,420.163,420.163,205.041,400,NL
H,05,CIB,05,12504,420.163,420.163,205.041,400,NL
H,05,SEV,05,12504,420.163,420.163,205.041,400,NL
H,05,SIV,05,12504,420.163,420.163,205.041,400,NL
H,05,SIH,05,12504,420.163,420.163,205.041,400,NL
H,05,SEH,05,12504,420.163,420.163,205.041,400,NL
H,05,SIW,05,12504,420.163,420.163,205.041,400,NL
H,05,BEH,20,12504,420.163,420.163,205.041,400,NL
H,05,BEF,20,12504,420.163,420.163,205.041,400,NL
H,05,BIF,20,12504,420.163,420.163,205.041,400,NL
H,05,CEV,20,12504,420.163,420.163,205.041,400,NL
H,05,CIV,20,12504,420.163,420.163,205.041,400,NL
H,05,CIB,20,12504,420.163,420.163,205.041,400,NL
H,05,SEV,20,12504,420.163,420.163,205.041,400,NL
H,05,SIV,20,12504,420.163,420.163,205.041,400,NL
H,05,SIH,20,12504,420.163,420.163,205.041,400,NL
H,05,SEH,20,12504,420.163,420.163,205.041,400,NL
H,05,SIW,20,12504,420.163,420.163,205.041,400,NL
H,15,BUI,00,40604,461.392,461.392,215.348,400,NL
H,15,CUI,00,40604,461.392,461.392,215.348,400,NL
H,15,SUI,00,40604,461.392,461.392,215.348,400,NL
H,15,BEH,05,40604,461.392,461.392,215.348,400,NL
H,15,BEF,05,40604,461.392,461.392,215.348,400,NL
H,15,BIF,05,40604,461.392,461.392,215.348,400,NL
H,15,CEV,05,40604,461.392,461.392,215.348,400,NL
H,15,CIV,05,40604,461.392,461.392,215.348,400,NL
H,15,CIB,05,40604,461.392,461.392,215.348,400,NL
H,15,SEV,05,40604,461.392,461.392,215.348,400,NL
H,15,SIV,05,40604,461.392,461.392,215.348,400,NL
H,15,SIH,05,40604,461.392,461.392,215.348,400,NL
H,15,SEH,05,40604,461.392,461.392,215.348,400,NL
H,15,SIW,05,40604,461.392,461.392,215.348,400,NL
H,15,BEH,20,40604,461.392,461.392,215.348,400,NL
H,15,BEF,20,40604,461.392,461.392,215.348,400,NL
H,15,BIF,20,40604,461.392,461.392,215.348,400,NL
H,15,CEV,20,40604,461.392,461.392,215.348,400,NL
H,15,CIV,20,40604,461.392,461.392,215.348,400,NL
H,15,CIB,20,40604,461.392,461.392,215.348,400,NL
H,15,SEV,20,40604,461.392,461.392,215.348,400,NL
H,15,SIV,20,40604,461.392,461.392,215.348,400,NL
H,15,SIH,20,40604,461.392,461.392,215.348,400,NL
H,15,SEH,20,40604,461.392,461.392,215.348,400,NL
H,15,SIW,20,40604,461.392,461.392,215.348,400,NL
H,45,BUI,00,150943,590.86,590.86,247.715,400,NL
H,45,CUI,00,150943,590.86,590.86,247.715,400,NL
H,45,SUI,00,150943,590.86,590.86,247.715,400,NL
H,45,BEH,05,150943,590.86,590.86,247.715,400,NL
H,45,BEF,05,150943,590.86,590.86,247.715,400,NL
H,45,BIF,05,150943,590.86,590.86,247.715,400,NL
H,45,CEV,05,150943,590.86,590.86,247.715,400,NL
H,45,CIV,05,150943,590.86,590.86,247.715,400,NL
H,45,CIB,05,150943,590.86,590.86,247.715,400,NL
H,45,SEV,05,150943,590.86,590.86,247.715,400,NL
H,45,SIV,05,150943,590.86,590.86,247.715,400,NL
H,45,SIH,05,150943,590.86,590.86,247.715,400,NL
H,45,SEH,05,150943,590.86,590.86,247.715,400,NL
H,45,SIW,05,150943,590.86,590.86,247.715,400,NL
H,45,BEH,20,150943,590.86,590.86,247.715,400,NL
H,45,BEF,20,150943,590.86,590.86,247.715,400,NL
H,45,BIF,20,150943,590.86,590.86,247.715,400,NL
H,45,CEV,20,150943,590.86,590.86,247.715,400,NL
H,45,CIV,20,150943,590.86,590.86,247.715,400,NL
H,45,CIB,20,150943,590.86,590.86,247.715,400,NL
H,45,SEV,20,150943,590.86,590.86,247.715,400,NL
H,45,SIV,20,150943,590.86,590.86,247.715,400,NL
H,45,SIH,20,150943,590.86,590.86,247.715,400,NL
H,45,SEH,20,150943,590.86,590.86,247.715,400,NL
H,45,SIW,20,150943,590.86,590.86,247.715,400,NL
S,05,BUI,00,,,,,,NC
S,05,CUI,00,,,,,,NC
S,05,SUI,00,,,,,,NC
S,05,BEH,05,,,,,,NC
S,05,BEF,05,,,,,,NC
S,05,BIF,05,,,,,,NC
S,05,CEV,05,,,,,,NC
S,05,CIV,05,,,,,,NC
S,05,CIB,05,,,,,,NC
S,05,SEV,05,,,,,,NC
S,05,SIV,05,,,,,,NC
S,05,SIH,05,,,,,,NC
S,05,SEH,05,,,,,,NC
S,05,SIW,05,,,,,,NC
S,05,BEH,20,,,,,,NC
S,05,BEF,20,,,,,,NC
S,05,BIF,20,,,,,,NC
S,05,CEV,20,,,,,,NC
S,05,CIV,20,,,,,,NC
S,05,CIB,20,,,,,,NC
S,05,SEV,20,,,,,,NC
S,05,SIV,20,,,,,,NC
S,05,SIH,20,,,,,,NC
S,05,SEH,20,,,,,,NC
S,05,SIW,20,,,,,,NC
S,15,BUI,00,,,,,,NC
S,15,CUI,00,,,,,,NC
S,15,SUI,00,,,,,,NC
S,15,BEH,05,,,,,,NC
S,15,BEF,05,,,,,,NC
S,15,BIF,05,,,,,,NC
S,15,CEV,05,,,,,,NC
S,15,CIV,05,,,,,,NC
S,15,CIB,05,,,,,,NC
S,15,SEV,05,,,,,,NC
S,15,SIV,05,,,,,,NC
S,15,SIH,05,,,,,,NC
S,15,SEH,05,,,,,,NC
S,15,SIW,05,,,,,,NC
S,15,BEH,20,,,,,,NC
S,15,BEF,20,,,,,,NC
S,15,BIF,20,,,,,,NC
S,15,CEV,20,,,,,,NC
S,15,CIV,20,,,,,,NC
S,15,CIB,20,,,,,,NC
S,15,SEV,20,,,,,,NC
S,15,SIV,20,,,,,,NC
S,15,SIH,20,,,,,,NC
S,15,SEH,20,,,,,,NC
S,15,SIW,20,,,,,,NC
S,45,BUI,00,,,,,,NC
S,45,CUI,00,,,,,,NC
S,45,SUI,00,,,,,,NC
S,45,BEH,05,,,,,,NC
S,45,BEF,05,,,,,,NC
S,45,BIF,05,,,,,,NC
S,45,CEV,05,,,,,,NC
S,45,CIV,05,,,,,,NC
S,45,CIB,05,,,,,,NC
S,45,SEV,05,,,,,,NC
S,45,SIV,05,,,,,,NC
S,45,SIH,05,,,,,,NC
S,45,SEH,05,,,,,,NC
S,45,SIW,05,,,,,,NC
S,45,BEH,20,,,,,,NC
S,45,BEF,20,,,,,,NC
S,45,BIF,20,,,,,,NC
S,45,CEV,20,,,,,,NC
S,45,CIV,20,,,,,,NC
S,45,CIB,20,,,,,,NC
S,45,SEV,20,,,,,,NC
S,45,SIV,20,,,,,,NC
S,45,SIH,20,,,,,,NC
S,45,SEH,20,,,,,,NC
S,45,SIW,20,,,,,,NC
S,05,BUI,00,,,,,,NL
S,05,CUI,00,,,,,,NL
S,05,SUI,00,,,,,,NL
S,05,BEH,05,,,,,,NL
S,05,BEF,05,,,,,,NL
S,05,BIF,05,,,,,,NL
S,05,CEV,05,,,,,,NL
S,05,CIV,05,,,,,,NL
S,05,CIB,05,,,,,,NL
S,05,SEV,05,,,,,,NL
S,05,SIV,05,,,,,,NL
S,05,SIH,05,,,,,,NL
S,05,SEH,05,,,,,,NL
S,05,SIW,05,,,,,,NL
S,05,BEH,20,,,,,,NL
S,05,BEF,20,,,,,,NL
S,05,BIF,20,,,,,,NL
S,05,CEV,20,,,,,,NL
S,05,CIV,20,,,,,,NL
S,05,CIB,20,,,,,,NL
S,05,SEV,20,,,,,,NL
S,05,SIV,20,,,,,,NL
S,05,SIH,20,,,,,,NL
S,05,SEH,20,,,,,,NL
S,05,SIW,20,,,,,,NL
S,15,BUI,00,,,,,,NL
S,15,CUI,00,,,,,,NL
S,15,SUI,00,,,,,,NL
S,15,BEH,05,,,,,,NL
S,15,BEF,05,,,,,,NL
S,15,BIF,05,,,,,,NL
S,15,CEV,05,,,,,,NL
S,15,CIV,05,,,,,,NL
S,15,CIB,05,,,,,,NL
S,15,SEV,05,,,,,,NL
S,15,SIV,05,,,,,,NL
S,15,SIH,05,,,,,,NL
S,15,SEH,05,,,,,,NL
S,15,SIW,05,,,,,,NL
S,15,BEH,20,,,,,,NL
S,15,BEF,20,,,,,,NL
S,15,BIF,20,,,,,,NL
S,15,CEV,20,,,,,,NL
S,15,CIV,20,,,,,,NL
S,15,CIB,20,,,,,,NL
S,15,SEV,20,,,,,,NL
S,15,SIV,20,,,,,,NL
S,15,SIH,20,,,,,,NL
S,15,SEH,20,,,,,,NL
S,15,SIW,20,,,,,,NL
S,45,BUI,00,,,,,,NL
S,45,CUI,00,,,,,,NL
S,45,SUI,00,,,,,,NL
S,45,BEH,05,,,,,,NL
S,45,BEF,05,,,,,,NL
S,45,BIF,05,,,,,,NL
S,45,CEV,05,,,,,,NL
S,45,CIV,05,,,,,,NL
S,45,CIB,05,,,,,,NL
S,45,SEV,05,,,,,,NL
S,45,SIV,05,,,,,,NL
S,45,SIH,05,,,,,,NL
S,45,SEH,05,,,,,,NL
S,45,SIW,05,,,,,,NL
S,45,BEH,20,,,,,,NL
S,45,BEF,20,,,,,,NL
S,45,BIF,20,,,,,,NL
S,45,CEV,20,,,,,,NL
S,45,CIV,20,,,,,,NL
S,45,CIB,20,,,,,,NL
S,45,SEV,20,,,,,,NL
S,45,SIV,20,,,,,,NL
S,45,SIH,20,,,,,,NL
S,45,SEH,20,,,,,,NL
S,45,SIW,20,,,,,,NL
S,05,BUI,00,,,,,,PC
S,05,CUI,00,,,,,,PC
S,05,SUI,00,,,,,,PC
S,05,BEH,05,,,,,,PC
S,05,BEF,05,,,,,,PC
S,05,BIF,05,,,,,,PC
S,05,CEV,05,,,,,,PC
S,05,CIV,05,,,,,,PC
S,05,CIB,05,,,,,,PC
S,05,SEV,05,,,,,,PC
S,05,SIV,05,,,,,,PC
S,05,SIH,05,,,,,,PC
S,05,SEH,05,,,,,,PC
S,05,SIW,05,,,,,,PC
S,05,BEH,20,,,,,,PC
S,05,BEF,20,,,,,,PC
S,05,BIF,20,,,,,,PC
S,05,CEV,20,,,,,,PC
S,05,CIV,20,,,,,,PC
S,05,CIB,20,,,,,,PC
S,05,SEV,20,,,,,,PC
S,05,SIV,20,,,,,,PC
S,05,SIH,20,,,,,,PC
S,05,SEH,20,,,,,,PC
S,05,SIW,20,,,,,,PC
S,15,BUI,00,,,,,,PC
S,15,CUI,00,,,,,,PC
S,15,SUI,00,,,,,,PC
S,15,BEH,05,,,,,,PC
S,15,BEF,05,,,,,,PC
S,15,BIF,05,,,,,,PC
S,15,CEV,05,,,,,,PC
S,15,CIV,05,,,,,,PC
S,15,CIB,05,,,,,,PC
S,15,SEV,05,,,,,,PC
S,15,SIV,05,,,,,,PC
S,15,SIH,05,,,,,,PC
S,15,SEH,05,,,,,,PC
S,15,SIW,05,,,,,,PC
S,15,BEH,20,,,,,,PC
S,15,BEF,20,,,,,,PC
S,15,BIF,20,,,,,,PC
S,15,CEV,20,,,,,,PC
S,15,CIV,20,,,,,,PC
S,15,CIB,20,,,,,,PC
S,15,SEV,20,,,,,,PC
S,15,SIV,20,,,,,,PC
S,15,SIH,20,,,,,,PC
S,15,SEH,20,,,,,,PC
S,15,SIW,20,,,,,,PC
S,45,BUI,00,,,,,,PC
S,45,CUI,00,,,,,,PC
S,45,SUI,00,,,,,,PC
S,45,BEH,05,,,,,,PC
S,45,BEF,05,,,,,,PC
S,45,BIF,05,,,,,,PC
S,45,CEV,05,,,,,,PC
S,45,CIV,05,,,,,,PC
S,45,CIB,05,,,,,,PC
S,45,SEV,05,,,,,,PC
S,45,SIV,05,,,,,,PC
S,45,SIH,05,,,,,,PC
S,45,SEH,05,,,,,,PC
S,45,SIW,05,,,,,,PC
S,45,BEH,20,,,,,,PC
S,45,BEF,20,,,,,,PC
S,45,BIF,20,,,,,,PC
S,45,CEV,20,,,,,,PC
S,45,CIV,20,,,,,,PC
S,45,CIB,20,,,,,,PC
S,45,SEV,20,,,,,,PC
S,45,SIV,20,,,,,,PC
S,45,SIH,20,,,,,,PC
S,45,SEH,20,,,,,,PC
S,45,SIW,20,,,,,,PC
S,05,BUI,00,,,,,,BC
S,05,CUI,00,,,,,,BC
S,05,SUI,00,,,,,,BC
S,05,BEH,05,,,,,,BC
S,05,BEF,05,,,,,,BC
S,05,BIF,05,,,,,,BC
S,05,CEV,05,,,,,,BC
S,05,CIV,05,,,,,,BC
S,05,CIB,05,,,,,,BC
S,05,SEV,05,,,,,,BC
S,05,SIV,05,,,,,,BC
S,05,SIH,05,,,,,,BC
S,05,SEH,05,,,,,,BC
S,05,SIW,05,,,,,,BC
S,05,BEH,20,,,,,,BC
S,05,BEF,20,,,,,,BC
S,05,BIF,20,,,,,,BC
S,05,CEV,20,,,,,,BC
S,05,CIV,20,,,,,,BC
S,05,CIB,20,,,,,,BC
S,05,SEV,20,,,,,,BC
S,05,SIV,20,,,,,,BC
S,05,SIH,20,,,,,,BC
S,05,SEH,20,,,,,,BC
S,05,SIW,20,,,,,,BC
S,15,BUI,00,,,,,,BC
S,15,CUI,00,,,,,,BC
S,15,SUI,00,,,,,,BC
S,15,BEH,05,,,,,,BC
S,15,BEF,05,,,,,,BC
S,15,BIF,05,,,,,,BC
S,15,CEV,05,,,,,,BC
S,15,CIV,05,,,,,,BC
S,15,CIB,05,,,,,,BC
S,15,SEV,05,,,,,,BC
S,15,SIV,05,,,,,,BC
S,15,SIH,05,,,,,,BC
S,15,SEH,05,,,,,,BC
S,15,SIW,05,,,,,,BC
S,15,BEH,20,,,,,,BC
S,15,BEF,20,,,,,,BC
S,15,BIF,20,,,,,,BC
S,15,CEV,20,,,,,,BC
S,15,CIV,20,,,,,,BC
S,15,CIB,20,,,,,,BC
S,15,SEV,20,,,,,,BC
S,15,SIV,20,,,,,,BC
S,15,SIH,20,,,,,,BC
S,15,SEH,20,,,,,,BC
S,15,SIW,20,,,,,,BC
S,45,BUI,00,,,,,,BC
S,45,CUI,00,,,,,,BC
S,45,SUI,00,,,,,,BC
S,45,BEH,05,,,,,,BC
S,45,BEF,05,,,,,,BC
S,45,BIF,05,,,,,,BC
S,45,CEV,05,,,,,,BC
S,45,CIV,05,,,,,,BC
S,45,CIB,05,,,,,,BC
S,45,SEV,05,,,,,,BC
S,45,SIV,05,,,,,,BC
S,45,SIH,05,,,,,,BC
S,45,SEH,05,,,,,,BC
S,45,SIW,05,,,,,,BC
S,45,BEH,20,,,,,,BC
S,45,BEF,20,,,,,,BC
S,45,BIF,20,,,,,,BC
S,45,CEV,20,,,,,,BC
S,45,CIV,20,,,,,,BC
S,45,CIB,20,,,,,,BC
S,45,SEV,20,,,,,,BC
S,45,SIV,20,,,,,,BC
S,45,SIH,20,,,,,,BC
S,45,SEH,20,,,,,,BC
S,45,SIW,20,,,,,,BC
S,05,BUI,00,,,,,,RC
S,05,CUI,00,,,,,,RC
S,05,SUI,00,,,,,,RC
S,05,BEH,05,,,,,,RC
S,05,BEF,05,,,,,,RC
S,05,BIF,05,,,,,,RC
S,05,CEV,05,,,,,,RC
S,05,CIV,05,,,,,,RC
S,05,CIB,05,,,,,,RC
S,05,SEV,05,,,,,,RC
S,05,SIV,05,,,,,,RC
S,05,SIH,05,,,,,,RC
S,05,SEH,05,,,,,,RC
S,05,SIW,05,,,,,,RC
S,05,BEH,20,,,,,,RC
S,05,BEF,20,,,,,,RC
S,05,BIF,20,,,,,,RC
S,05,CEV,20,,,,,,RC
S,05,CIV,20,,,,,,RC
S,05,CIB,20,,,,,,RC
S,05,SEV,20,,,,,,RC
S,05,SIV,20,,,,,,RC
S,05,SIH,20,,,,,,RC
S,05,SEH,20,,,,,,RC
S,05,SIW,20,,,,,,RC
S,15,BUI,00,,,,,,RC
S,15,CUI,00,,,,,,RC
S,15,SUI,00,,,,,,RC
S,15,BEH,05,,,,,,RC
S,15,BEF,05,,,,,,RC
S,15,BIF,05,,,,,,RC
S,15,CEV,05,,,,,,RC
S,15,CIV,05,,,,,,RC
S,15,CIB,05,,,,,,RC
S,15,SEV,05,,,,,,RC
S,15,SIV,05,,,,,,RC
S,15,SIH,05,,,,,,RC
S,15,SEH,05,,,,,,RC
S,15,SIW,05,,,,,,RC
S,15,BEH,20,,,,,,RC
S,15,BEF,20,,,,,,RC
S,15,BIF,20,,,,,,RC
S,15,CEV,20,,,,,,RC
S,15,CIV,20,,,,,,RC
S,15,CIB,20,,,,,,RC
S,15,SEV,20,,,,,,RC
S,15,SIV,20,,,,,,RC
S,15,SIH,20,,,,,,RC
S,15,SEH,20,,,,,,RC
S,15,SIW,20,,,,,,RC
S,45,BUI,00,,,,,,RC
S,45,CUI,00,,,,,,RC
S,45,SUI,00,,,,,,RC
S,45,BEH,05,,,,,,RC
S,45,BEF,05,,,,,,RC
S,45,BIF,05,,,,,,RC
S,45,CEV,05,,,,,,RC
S,45,CIV,05,,,,,,RC
S,45,CIB,05,,,,,,RC
S,45,SEV,05,,,,,,RC
S,45,SIV,05,,,,,,RC
S,45,SIH,05,,,,,,RC
S,45,SEH,05,,,,,,RC
S,45,SIW,05,,,,,,RC
S,45,BEH,20,,,,,,RC
S,45,BEF,20,,,,,,RC
S,45,BIF,20,,,,,,RC
S,45,CEV,20,,,,,,RC
S,45,CIV,20,,,,,,RC
S,45,CIB,20,,,,,,RC
S,45,SEV,20,,,,,,RC
S,45,SIV,20,,,,,,RC
S,45,SIH,20,,,,,,RC
S,45,SEH,20,,,,,,RC
S,45,SIW,20,,,,,,RC
S,05,BUI,00,,,,,,RL
S,05,CUI,00,,,,,,RL
S,05,SUI,00,,,,,,RL
S,05,BEH,05,,,,,,RL
S,05,BEF,05,,,,,,RL
S,05,BIF,05,,,,,,RL
S,05,CEV,05,,,,,,RL
S,05,CIV,05,,,,,,RL
S,05,CIB,05,,,,,,RL
S,05,SEV,05,,,,,,RL
S,05,SIV,05,,,,,,RL
S,05,SIH,05,,,,,,RL
S,05,SEH,05,,,,,,RL
S,05,SIW,05,,,,,,RL
S,05,BEH,20,,,,,,RL
S,05,BEF,20,,,,,,RL
S,05,BIF,20,,,,,,RL
S,05,CEV,20,,,,,,RL
S,05,CIV,20,,,,,,RL
S,05,CIB,20,,,,,,RL
S,05,SEV,20,,,,,,RL
S,05,SIV,20,,,,,,RL
S,05,SIH,20,,,,,,RL
S,05,SEH,20,,,,,,RL
S,05,SIW,20,,,,,,RL
S,15,BUI,00,,,,,,RL
S,15,CUI,00,,,,,,RL
S,15,SUI,00,,,,,,RL
S,15,BEH,05,,,,,,RL
S,15,BEF,05,,,,,,RL
S,15,BIF,05,,,,,,RL
S,15,CEV,05,,,,,,RL
S,15,CIV,05,,,,,,RL
S,15,CIB,05,,,,,,RL
S,15,SEV,05,,,,,,RL
S,15,SIV,05,,,,,,RL
S,15,SIH,05,,,,,,RL
S,15,SEH,05,,,,,,RL
S,15,SIW,05,,,,,,RL
S,15,BEH,20,,,,,,RL
S,15,BEF,20,,,,,,RL
S,15,BIF,20,,,,,,RL
S,15,CEV,20,,,,,,RL
S,15,CIV,20,,,,,,RL
S,15,CIB,20,,,,,,RL
S,15,SEV,20,,,,,,RL
S,15,SIV,20,,,,,,RL
S,15,SIH,20,,,,,,RL
S,15,SEH,20,,,,,,RL
S,15,SIW,20,,,,,,RL
S,45,BUI,00,,,,,,RL
S,45,CUI,00,,,,,,RL
S,45,SUI,00,,,,,,RL
S,45,BEH,05,,,,,,RL
S,45,BEF,05,,,,,,RL
S,45,BIF,05,,,,,,RL
S,45,CEV,05,,,,,,RL
S,45,CIV,05,,,,,,RL
S,45,CIB,05,,,,,,RL
S,45,SEV,05,,,,,,RL
S,45,SIV,05,,,,,,RL
S,45,SIH,05,,,,,,RL
S,45,SEH,05,,,,,,RL
S,45,SIW,05,,,,,,RL
S,45,BEH,20,,,,,,RL
S,45,BEF,20,,,,,,RL
S,45,BIF,20,,,,,,RL
S,45,CEV,20,,,,,,RL
S,45,CIV,20,,,,,,RL
S,45,CIB,20,,,,,,RL
S,45,SEV,20,,,,,,RL
S,45,SIV,20,,,,,,RL
S,45,SIH,20,,,,,,RL
S,45,SEH,20,,,,,,RL
S,45,SIW,20,,,,,,RL
H,05,BUI,00,12504,420.163,420.163,205.041,400,PC
H,05,CUI,00,12504,420.163,420.163,205.041,400,PC
H,05,SUI,00,12504,420.163,420.163,205.041,400,PC
H,05,BEH,05,12504,420.163,420.163,205.041,400,PC
H,05,BEF,05,12504,420.163,420.163,205.041,400,PC
H,05,BIF,05,12504,420.163,420.163,205.041,400,PC
H,05,CEV,05,12504,420.163,420.163,205.041,400,PC
H,05,CIV,05,12504,420.163,420.163,205.041,400,PC
H,05,CIB,05,12504,420.163,420.163,205.041,400,PC
H,05,SEV,05,12504,420.163,420.163,205.041,400,PC
H,05,SIV,05,12504,420.163,420.163,205.041,400,PC
H,05,SIH,05,12504,420.163,420.163,205.041,400,PC
H,05,SEH,05,12504,420.163,420.163,205.041,400,PC
H,05,SIW,05,12504,420.163,420.163,205.041,400,PC
H,05,BEH,20,12504,420.163,420.163,205.041,400,PC
H,05,BEF,20,12504,420.163,420.163,205.041,400,PC
H,05,BIF,20,12504,420.163,420.163,205.041,400,PC
H,05,CEV,20,12504,420.163,420.163,205.041,400,PC
H,05,CIV,20,12504,420.163,420.163,205.041,400,PC
H,05,CIB,20,12504,420.163,420.163,205.041,400,PC
H,05,SEV,20,12504,420.163,420.163,205.041,400,PC
H,05,SIV,20,12504,420.163,420.163,205.041,400,PC
H,05,SIH,20,12504,420.163,420.163,205.041,400,PC
H,05,SEH,20,12504,420.163,420.163,205.041,400,PC
H,05,SIW,20,12504,420.163,420.163,205.041,400,PC
H,15,BUI,00,40604,461.392,461.392,215.348,400,PC
H,15,CUI,00,40604,461.392,461.392,215.348,400,PC
H,15,SUI,00,40604,461.392,461.392,215.348,400,PC
H,15,BEH,05,40604,461.392,461.392,215.348,400,PC
H,15,BEF,05,40604,461.392,461.392,215.348,400,PC
H,15,BIF,05,40604,461.392,461.392,215.348,400,PC
H,15,CEV,05,40604,461.392,461.392,215.348,400,PC
H,15,CIV,05,40604,461.392,461.392,215.348,400,PC
H,15,CIB,05,40604,461.392,461.392,215.348,400,PC
H,15,SEV,05,40604,461.392,461.392,215.348,400,PC
H,15,SIV,05,40604,461.392,461.392,215.348,400,PC
H,15,SIH,05,40604,461.392,461.392,215.348,400,PC
H,15,SEH,05,40604,461.392,461.392,215.348,400,PC
H,15,SIW,05,40604,461.392,461.392,215.348,400,PC
H,15,BEH,20,40604,461.392,461.392,215.348,400,PC
H,15,BEF,20,40604,461.392,461.392,215.348,400,PC
H,15,BIF,20,40604,461.392,461.392,215.348,400,PC
H,15,CEV,20,40604,461.392,461.392,215.348,400,PC
H,15,CIV,20,40604,461.392,461.392,215.348,400,PC
H,15,CIB,20,40604,461.392,461.392,215.348,400,PC
H,15,SEV,20,40604,461.392,461.392,215.348,400,PC
H,15,SIV,20,40604,461.392,461.392,215.348,400,PC
H,15,SIH,20,40604,461.392,461.392,215.348,400,PC
H,15,SEH,20,40604,461.392,461.392,215.348,400,PC
H,15,SIW,20,40604,461.392,461.392,215.348,400,PC
H,45,BUI,00,150943,590.86,590.86,247.715,400,PC
H,45,CUI,00,150943,590.86,590.86,247.715,400,PC
H,45,SUI,00,150943,590.86,590.86,247.715,400,PC
H,45,BEH,05,150943,590.86,590.86,247.715,400,PC
H,45,BEF,05,150943,590.86,590.86,247.715,400,PC
H,45,BIF,05,150943,590.86,590.86,247.715,400,PC
H,45,CEV,05,150943,590.86,590.86,247.715,400,PC
H,45,CIV,05,150943,590.86,590.86,247.715,400,PC
H,45,CIB,05,150943,590.86,590.86,247.715,400,PC
H,45,SEV,05,150943,590.86,590.86,247.715,400,PC
H,45,SIV,05,150943,590.86,590.86,247.715,400,PC
H,45,SIH,05,150943,590.86,590.86,247.715,400,PC
H,45,SEH,05,150943,590.86,590.86,247.715,400,PC
H,45,SIW,05,150943,590.86,590.86,247.715,400,PC
H,45,BEH,20,150943,590.86,590.86,247.715,400,PC
H,45,BEF,20,150943,590.86,590.86,247.715,400,PC
H,45,BIF,20,150943,590.86,590.86,247.715,400,PC
H,45,CEV,20,150943,590.86,590.86,247.715,400,PC
H,45,CIV,20,150943,590.86,590.86,247.715,400,PC
H,45,CIB,20,150943,590.86,590.86,247.715,400,PC
H,45,SEV,20,150943,590.86,590.86,247.715,400,PC
H,45,SIV,20,150943,590.86,590.86,247.715,400,PC
H,45,SIH,20,150943,590.86,590.86,247.715,400,PC
H,45,SEH,20,150943,590.86,590.86,247.715,400,PC
H,45,SIW,20,150943,590.86,590.86,247.715,400,PC
H,05,BUI,00,12504,420.163,420.163,205.041,400,BC
H,05,CUI,00,12504,420.163,420.163,205.041,400,BC
H,05,SUI,00,12504,420.163,420.163,205.041,400,BC
H,05,BEH,05,12504,420.163,420.163,205.041,400,BC
H,05,BEF,05,12504,420.163,420.163,205.041,400,BC
H,05,BIF,05,12504,420.163,420.163,205.041,400,BC
H,05,CEV,05,12504,420.163,420.163,205.041,400,BC
H,05,CIV,05,12504,420.163,420.163,205.041,400,BC
H,05,CIB,05,12504,420.163,420.163,205.041,400,BC
H,05,SEV,05,12504,420.163,420.163,205.041,400,BC
H,05,SIV,05,12504,420.163,420.163,205.041,400,BC
H,05,SIH,05,12504,420.163,420.163,205.041,400,BC
H,05,SEH,05,12504,420.163,420.163,205.041,400,BC
H,05,SIW,05,12504,420.163,420.163,205.041,400,BC
H,05,BEH,20,12504,420.163,420.163,205.041,400,BC
H,05,BEF,20,12504,420.163,420.163,205.041,400,BC
H,05,BIF,20,12504,420.163,420.163,205.041,400,BC
H,05,CEV,20,12504,420.163,420.163,205.041,400,BC
H,05,CIV,20,12504,420.163,420.163,205.041,400,BC
H,05,CIB,20,12504,420.163,420.163,205.041,400,BC
H,05,SEV,20,12504,420.163,420.163,205.041,400,BC
H,05,SIV,20,12504,420.163,420.163,205.041,400,BC
H,05,SIH,20,12504,420.163,420.163,205.041,400,BC
H,05,SEH,20,12504,420.163,420.163,205.041,400,BC
H,05,SIW,20,12504,420.163,420.163,205.041,400,BC
